regionname,regiontype,regionlongitude,regionlatitude
AL,state,-86.827611,32.791617
AK,state,-152.567080,64.262549
AZ,state,-111.664589,34.293226
AR,state,-92.439159,34.899831
CA,state,-119.609420,37.246132
CO,state,-105.547831,38.998551
CT,state,-72.725185,41.621871
DE,state,-75.507461,39.003902
DC,state,-77.016274,38.904784
FL,state,-82.488331,28.650413
GA,state,-83.449374,32.651172
HI,state,-156.344543,20.245884
ID,state,-114.659366,44.389073
IL,state,-89.198394,40.064993
IN,state,-86.275545,39.908138
IA,state,-93.500045,42.074657
KS,state,-98.380188,38.484727
KY,state,-85.290483,37.526682
LA,state,-92.007187,31.073035
ME,state,-69.232241,45.380607
MD,state,-76.799262,39.019074
MA,state,-71.812238,42.256815
MI,state,-85.439827,44.346660
MN,state,-94.309304,46.316306
MS,state,-89.665419,32.751612
MO,state,-92.477240,38.367499
MT,state,-109.645134,47.033522
NE,state,-99.810586,41.527100
NV,state,-116.655398,39.356469
NH,state,-71.578906,43.686777
NJ,state,-74.671151,40.201045
NM,state,-106.108391,34.421361
NY,state,-75.516098,42.951392
NC,state,-79.387643,35.543789
ND,state,-100.469309,47.446315
OH,state,-82.790053,40.291295
OK,state,-97.508298,35.583452
OR,state,-120.556417,43.938387
PA,state,-77.799289,40.873668
PR,state,-66.469235,18.222541
RI,state,-71.555705,41.676207
SC,state,-80.899695,33.914461
SD,state,-100.230494,44.436147
TN,state,-86.343228,35.842995
TX,state,-99.358886,31.494986
UT,state,-111.678222,39.323779
VT,state,-72.662738,44.075226
VA,state,-78.824717,37.514902
WA,state,-120.442589,47.379794
WV,state,-80.613732,38.642578
WI,state,-90.011425,44.635761
WY,state,-107.551449,42.999627
000,zip3,-150.043999,64.243307
001,zip3,-84.469546,46.327982
010,zip3,-72.599090,42.257430
011,zip3,-72.546482,42.100053
012,zip3,-73.207487,42.367925
013,zip3,-72.523772,42.586476
014,zip3,-71.817190,42.592377
015,zip3,-71.856374,42.230021
016,zip3,-71.845318,42.278842
017,zip3,-71.454490,42.342070
018,zip3,-71.215977,42.640653
019,zip3,-70.892051,42.652170
020,zip3,-71.151337,42.138978
021,zip3,-71.053757,42.310981
022,zip3,-71.069641,42.347184
023,zip3,-70.849525,41.968074
024,zip3,-71.232262,42.359590
025,zip3,-70.515424,41.533146
026,zip3,-70.190850,41.750301
027,zip3,-71.077809,41.770805
028,zip3,-71.565332,41.658764
029,zip3,-71.471022,41.827291
030,zip3,-71.504708,42.903936
031,zip3,-71.469226,43.000715
032,zip3,-71.663489,43.572170
033,zip3,-71.563794,43.262235
034,zip3,-72.192524,42.908476
035,zip3,-71.380530,44.658218
036,zip3,-72.322661,43.177004
037,zip3,-72.118710,43.703305
038,zip3,-71.095910,43.554373
039,zip3,-70.747810,43.234795
040,zip3,-70.599436,43.778925
041,zip3,-70.274982,43.683076
042,zip3,-70.528492,44.424127
043,zip3,-69.748794,44.301647
044,zip3,-68.649900,45.269138
045,zip3,-69.570394,44.000553
