regiontype,regionid,regionparent
zip3,001,NH
zip3,010,MA
zip3,011,MA
zip3,012,MA
zip3,013,MA
zip3,014,MA
zip3,015,MA
zip3,016,MA
zip3,017,MA
zip3,018,MA
zip3,019,MA
zip3,020,MA
zip3,021,MA
zip3,022,MA
zip3,023,MA
zip3,024,MA
zip3,025,MA
zip3,026,MA
zip3,027,MA
zip3,028,RI
zip3,029,RI
zip3,030,NH
zip3,031,NH
zip3,032,NH
zip3,033,NH
zip3,034,NH
zip3,035,NH
zip3,036,NH
zip3,037,NH
zip3,038,NH
zip3,039,ME
zip3,040,ME
zip3,041,ME
zip3,042,ME
zip3,043,ME
zip3,044,ME
zip3,045,ME
zip3,046,ME
zip3,047,ME
zip3,048,ME
zip3,049,ME
zip3,050,VT
zip3,051,VT
zip3,052,VT
zip3,053,VT
zip3,054,VT
zip3,056,VT
zip3,057,VT
zip3,058,VT
zip3,059,VT
zip3,060,CT
zip3,061,CT
zip3,062,CT
zip3,063,CT
zip3,064,CT
zip3,065,CT
zip3,066,CT
zip3,067,CT
zip3,068,CT
zip3,069,CT
zip3,070,NJ
zip3,071,NJ
zip3,072,NJ
zip3,073,NJ
zip3,074,NJ
zip3,075,NJ
zip3,076,NJ
zip3,077,NJ
zip3,078,NJ
zip3,079,NJ
zip3,080,NJ
zip3,081,NJ
zip3,082,NJ
zip3,083,NJ
zip3,084,NJ
zip3,085,NJ
zip3,086,NJ
zip3,087,NJ
zip3,088,NJ
zip3,089,NJ
zip3,100,NY
zip3,101,NY
zip3,102,NY
zip3,103,NY
zip3,104,NY
zip3,105,NY
zip3,106,NY
zip3,107,NY
zip3,108,NY
zip3,109,NY
zip3,110,NY
zip3,111,NY
zip3,112,NY
zip3,113,NY
zip3,114,NY
zip3,115,NY
zip3,116,NY
zip3,117,NY
zip3,118,NY
zip3,119,NY
zip3,120,NY
zip3,121,NY
zip3,122,NY
zip3,123,NY
zip3,124,NY
zip3,125,NY
zip3,126,NY
zip3,127,NY
zip3,128,NY
zip3,129,NY
zip3,130,NY
zip3,131,NY
zip3,132,NY
zip3,133,NY
zip3,134,NY
zip3,135,NY
zip3,136,NY
zip3,137,NY
zip3,138,NY
zip3,139,NY
zip3,140,NY
zip3,141,NY
zip3,142,NY
zip3,143,NY
zip3,144,NY
zip3,145,NY
zip3,146,NY
zip3,147,NY
zip3,148,NY
zip3,149,NY
zip3,150,PA
zip3,151,PA
zip3,152,PA
zip3,153,PA
zip3,154,PA
zip3,155,PA
zip3,156,PA
zip3,157,PA
zip3,158,PA
zip3,159,PA
zip3,160,PA
zip3,161,PA
zip3,162,PA
zip3,163,PA
zip3,164,PA
zip3,165,PA
zip3,166,PA
zip3,167,PA
zip3,168,PA
zip3,169,PA
zip3,170,PA
zip3,171,PA
zip3,172,PA
zip3,173,PA
zip3,174,PA
zip3,175,PA
zip3,176,PA
zip3,177,PA
zip3,178,PA
zip3,179,PA
zip3,180,PA
zip3,181,PA
zip3,182,PA
zip3,183,PA
zip3,184,PA
zip3,185,PA
zip3,186,PA
zip3,187,PA
zip3,188,PA
zip3,189,PA
zip3,190,PA
zip3,191,PA
zip3,193,PA
zip3,194,PA
zip3,195,PA
zip3,196,PA
zip3,197,DE
zip3,198,DE
zip3,199,DE
zip3,200,DC
zip3,201,VA
zip3,206,MD
zip3,207,MD
zip3,208,MD
zip3,209,MD
zip3,210,MD
zip3,211,MD
zip3,212,MD
zip3,214,MD
zip3,215,MD
zip3,216,MD
zip3,217,MD
zip3,218,MD
zip3,219,MD
zip3,220,VA
zip3,221,VA
zip3,222,VA
zip3,223,VA
zip3,224,VA
zip3,225,VA
zip3,226,VA
zip3,227,VA
zip3,228,VA
zip3,229,VA
zip3,230,VA
zip3,231,VA
zip3,232,VA
zip3,233,VA
zip3,234,VA
zip3,235,VA
zip3,236,VA
